gen	nevals	avg  	std	min  	max  
0  	200   	-1000	0  	-1000	-1000
1  	200   	-1000	0  	-1000	-1000
2  	200   	-1000	0  	-1000	-1000
3  	200   	-1000	0  	-1000	-1000
4  	200   	-1000	0  	-1000	-1000
5  	200   	-1000	0  	-1000	-1000
6  	200   	-1000	0  	-1000	-1000
7  	200   	-1000	0  	-1000	-1000
8  	200   	-1000	0  	-1000	-1000
9  	200   	-1000	0  	-1000	-1000
10 	200   	-1000	0  	-1000	-1000
11 	200   	-1000	0  	-1000	-1000
12 	200   	-1000	0  	-1000	-1000
13 	200   	-1000	0  	-1000	-1000
14 	200   	-1000	0  	-1000	-1000
15 	200   	-1000	0  	-1000	-1000
16 	200   	-1000	0  	-1000	-1000
17 	200   	-1000	0  	-1000	-1000
18 	200   	-1000	0  	-1000	-1000
19 	200   	-1000	0  	-1000	-1000
20 	200   	-1000	0  	-1000	-1000
21 	200   	-1000	0  	-1000	-1000
22 	200   	-1000	0  	-1000	-1000
23 	200   	-1000	0  	-1000	-1000
24 	200   	-1000	0  	-1000	-1000
25 	200   	-1000	0  	-1000	-1000
26 	200   	-1000	0  	-1000	-1000
27 	200   	-1000	0  	-1000	-1000
28 	200   	-1000	0  	-1000	-1000
29 	200   	-1000	0  	-1000	-1000
30 	200   	-1000	0  	-1000	-1000
31 	200   	-1000	0  	-1000	-1000
32 	200   	-1000	0  	-1000	-1000
33 	200   	-1000	0  	-1000	-1000
34 	200   	-1000	0  	-1000	-1000
35 	200   	-1000	0  	-1000	-1000
36 	200   	-1000	0  	-1000	-1000
37 	200   	-1000	0  	-1000	-1000
38 	200   	-1000	0  	-1000	-1000
39 	200   	-1000	0  	-1000	-1000
40 	200   	-1000	0  	-1000	-1000
41 	200   	-1000	0  	-1000	-1000
42 	200   	-1000	0  	-1000	-1000
43 	200   	-1000	0  	-1000	-1000
44 	200   	-1000	0  	-1000	-1000
45 	200   	-1000	0  	-1000	-1000
46 	200   	-1000	0  	-1000	-1000
47 	200   	-1000	0  	-1000	-1000
48 	200   	-1000	0  	-1000	-1000
49 	200   	-1000	0  	-1000	-1000
50 	200   	-1000	0  	-1000	-1000
51 	200   	-1000	0  	-1000	-1000
52 	200   	-1000	0  	-1000	-1000
53 	200   	-1000	0  	-1000	-1000
54 	200   	-1000	0  	-1000	-1000
55 	200   	-1000	0  	-1000	-1000
56 	200   	-1000	0  	-1000	-1000
57 	200   	-1000	0  	-1000	-1000
58 	200   	-1000	0  	-1000	-1000
59 	200   	-1000	0  	-1000	-1000
60 	200   	-1000	0  	-1000	-1000
61 	200   	-1000	0  	-1000	-1000
62 	200   	-1000	0  	-1000	-1000
63 	200   	-1000	0  	-1000	-1000
64 	200   	-1000	0  	-1000	-1000
65 	200   	-1000	0  	-1000	-1000
66 	200   	-1000	0  	-1000	-1000
67 	200   	-1000	0  	-1000	-1000
68 	200   	-1000	0  	-1000	-1000
69 	200   	-1000	0  	-1000	-1000
70 	200   	-1000	0  	-1000	-1000
71 	200   	-1000	0  	-1000	-1000
72 	200   	-1000	0  	-1000	-1000
73 	200   	-1000	0  	-1000	-1000
74 	200   	-1000	0  	-1000	-1000
75 	200   	-1000	0  	-1000	-1000
76 	200   	-1000	0  	-1000	-1000
77 	200   	-1000	0  	-1000	-1000
78 	200   	-1000	0  	-1000	-1000
79 	200   	-1000	0  	-1000	-1000
80 	200   	-1000	0  	-1000	-1000
81 	200   	-1000	0  	-1000	-1000
82 	200   	-1000	0  	-1000	-1000
83 	200   	-1000	0  	-1000	-1000
84 	200   	-1000	0  	-1000	-1000
85 	200   	-1000	0  	-1000	-1000
86 	200   	-1000	0  	-1000	-1000
87 	200   	-1000	0  	-1000	-1000
88 	200   	-1000	0  	-1000	-1000
89 	200   	-1000	0  	-1000	-1000
90 	200   	-1000	0  	-1000	-1000
91 	200   	-1000	0  	-1000	-1000
92 	200   	-1000	0  	-1000	-1000
93 	200   	-1000	0  	-1000	-1000
94 	200   	-1000	0  	-1000	-1000
95 	200   	-1000	0  	-1000	-1000
96 	200   	-1000	0  	-1000	-1000
97 	200   	-1000	0  	-1000	-1000
98 	200   	-1000	0  	-1000	-1000
99 	200   	-1000	0  	-1000	-1000
100	200   	-1000	0  	-1000	-1000